contexto_schema,coluna,checagem,qtd_falhas_pandera,regra,tipo_falha,severidade,fatal,interpretacao,qtd_linhas_estimadas
DataFrameSchema,ano_censo,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,co_municipio,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,in_agua_rede_publica,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,in_agua_potavel,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,dependencia_administrativa,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,id_escola,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,co_uf,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,co_regiao,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,in_agua_poco_artesiano,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,in_agua_inexistente,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,qt_doc_bas,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,no_uf,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,qt_mat_bas,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,qt_mat_fund,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,qt_doc_med,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
DataFrameSchema,qt_doc_fund,RN-05: escola ativa deve ter qt_mat_bas > 0 quando disponível,38554,RN-05,alerta_de_qualidade,média,False,escola ativa sem matrícula básica positiva; requer investigação,38554
